index,seed,batch_size,learning_rate,mse_x100
674,3643118410,16,0.0001,2.873149
735,3996180060,16,0.0001,1.655623
202,1164060874,16,0.0001,2.042579
469,2477678121,16,0.0001,2.476009
423,2280642471,16,0.0001,1.999869
373,2098673600,16,0.0001,4.532309
279,1617926037,16,0.0001,1.488898
316,1799224522,16,0.0001,5.161035
572,3053424193,16,0.0001,2.808008
550,2943338877,16,0.0001,2.408935
518,2694091579,16,0.0001,2.023408
624,3294013000,16,0.0001,4.879688
482,2541197181,16,0.0001,1.945425
351,1971484166,16,0.0001,4.07717
629,3321819506,16,0.0001,5.406586
764,4095548901,16,0.0001,4.168016
654,3504972200,16,0.0001,6.018747
532,2799390178,16,0.0001,3.981817
650,3492893491,16,0.0001,2.341785
380,2116698056,16,0.0001,5.421386
156,873528928,16,0.0001,5.063057
751,4029170195,16,0.0001,5.960125
355,1990565386,16,0.0001,3.66586
396,2171375478,16,0.0001,4.954162
580,3074899657,16,0.0001,4.112962
207,1206140304,16,0.0001,5.428424
20,113951388,16,0.0001,2.239092
407,2218081895,16,0.0001,1.641291
737,3998883404,16,0.0001,2.131052
95,575978247,16,0.0001,2.09736
747,4012949866,16,0.0001,3.41166
630,3324770988,16,0.0001,4.577912
8,63770697,16,0.0001,2.281697
378,2110399372,16,0.0001,2.38658
523,2727080836,16,0.0001,2.056248
698,3821647639,16,0.0001,2.295884
758,4069714311,16,0.0001,2.593889
559,2992502269,16,0.0001,4.024665
371,2092777968,16,0.0001,7.708909
82,488568334,16,0.0001,1.989148
273,1575968805,16,0.0001,2.51134
35,213829350,16,0.0001,1.514434
208,1206497624,16,0.0001,6.345988
445,2382346440,16,0.0001,3.145128
225,1300399558,16,0.0001,4.105993
511,2666689594,16,0.0001,1.905019
536,2840401791,16,0.0001,2.645353
657,3522842684,16,0.0001,4.53362
413,2242720123,16,0.0001,5.242069
213,1250205866,16,0.0001,2.45907
149,838642985,16,0.0001,4.473311
83,489607384,16,0.0001,2.037878
458,2443526863,16,0.0001,6.093251
796,4273763043,16,0.0001,4.459583
150,845804599,16,0.0001,4.499081
430,2311437751,16,0.0001,3.800025
295,1685722815,16,0.0001,5.802089
798,4291513028,16,0.0001,5.670018
551,2944154307,16,0.0001,4.100079
72,452686242,16,0.0001,6.994282
13,81840201,16,0.0001,2.504356
193,1122984156,16,0.0001,5.986252
653,3501718533,16,0.0001,3.235896
228,1327433256,16,0.0001,2.144771
177,1004678768,16,0.0001,3.869684
449,2395779971,16,0.0001,4.603199
343,1923391920,16,0.0001,1.803947
700,3835206212,16,0.0001,7.35274
312,1783621750,16,0.0001,3.759967
186,1083342261,16,0.0001,2.6857
733,3986180399,16,0.0001,4.073628
795,4258389270,16,0.0001,4.212112
788,4226823683,16,0.0001,3.730964
88,544000584,16,0.0001,4.497129
299,1707304310,16,0.0001,7.338276
332,1870588672,16,0.0001,1.718099
612,3234827243,16,0.0001,4.265525
537,2846745786,16,0.0001,4.168921
456,2438164466,16,0.0001,3.988418
484,2546814766,16,0.0001,2.915714
2,15181484,16,0.0001,2.950716
521,2711234365,16,0.0001,1.890186
307,1744571866,16,0.0001,4.690653
658,3531603583,16,0.0001,2.202837
578,3073507751,16,0.0001,1.694022
451,2400784315,16,0.0001,2.415149
450,2400227150,16,0.0001,4.664089
515,2690518011,16,0.0001,4.982731
271,1571715391,16,0.0001,6.174069
151,849085970,16,0.0001,3.134077
655,3513763120,16,0.0001,5.503283
452,2409889442,16,0.0001,3.865957
665,3577938010,16,0.0001,2.986415
787,4218900356,16,0.0001,4.760392
583,3093582843,16,0.0001,1.995384
319,1822612080,16,0.0001,3.552623
382,2124925937,16,0.0001,2.804295
241,1401062374,16,0.0001,2.329677
691,3741510301,16,0.0001,4.869293
606,3212408679,16,0.0001,3.10663
285,1647507875,16,0.0001,5.314222
350,1971064116,16,0.0001,2.164795
686,3718836128,16,0.0001,2.109248
659,3538105639,16,0.0001,5.289399
419,2262708055,16,0.0001,2.248942
647,3487994093,16,0.0001,3.251843
135,743712961,16,0.0001,6.074349
776,4144912136,16,0.0001,2.097525
90,554441630,16,0.0001,5.963056
759,4075960328,16,0.0001,2.081314
756,4048507978,16,0.0001,1.224459
56,382671389,16,0.0001,3.989859
137,751394618,16,0.0001,2.144932
101,586174267,16,0.0001,3.281662
280,1621891552,16,0.0001,4.467828
339,1910179590,16,0.0001,4.667363
525,2752992798,16,0.0001,1.834973
217,1264123378,16,0.0001,3.531718
745,4009966614,16,0.0001,2.35174
755,4046561081,16,0.0001,1.253652
223,1283105626,16,0.0001,2.280984
510,2662607185,16,0.0001,5.347975
609,3221356302,16,0.0001,3.557696
238,1378550958,16,0.0001,4.152735
661,3561457000,16,0.0001,2.028097
85,513464137,16,0.0001,2.775458
746,4012333331,16,0.0001,3.574043
294,1682449816,16,0.0001,6.204052
512,2666889022,16,0.0001,5.582857
677,3673015092,16,0.0001,4.150128
168,972809141,16,0.0001,3.742898
438,2350090130,16,0.0001,2.737554
305,1740657698,16,0.0001,3.557724
91,554855744,16,0.0001,1.964881
374,2099056470,16,0.0001,2.011113
662,3567186481,16,0.0001,2.148001
286,1648915741,16,0.0001,6.238571
54,356820335,16,0.0001,2.016624
138,753258402,16,0.0001,4.926812
107,625934881,16,0.0001,6.448997
93,558857333,16,0.0001,4.630706
527,2762026155,16,0.0001,2.031588
341,1914322909,16,0.0001,5.826272
359,2023023855,16,0.0001,4.691907
433,2324132397,16,0.0001,4.972007
