index,seed,epsilon,learning_rate,mse_x100
330,1866164957,10,0.0001,0.958837
39,243371005,10,0.0001,0.983405
409,2225124889,10,0.0001,0.923031
714,3902311213,10,0.0001,1.00031
25,148120861,10,0.0001,1.046971
427,2289301305,10,0.0001,1.249897
526,2753642846,10,0.0001,1.103232
76,472220680,10,0.0001,1.052515
365,2049139164,10,0.0001,1.143087
574,3060991435,10,0.0001,1.03903
754,4041825666,10,0.0001,1.016323
558,2989573618,10,0.0001,1.094061
303,1724073766,10,0.0001,1.111405
477,2507900402,10,0.0001,1.112639
157,896525782,10,0.0001,0.875354
313,1791796778,10,0.0001,0.867306
385,2135266170,10,0.0001,0.937282
196,1142932613,10,0.0001,0.971949
262,1541173015,10,0.0001,0.937162
155,866784552,10,0.0001,0.979759
663,3573854486,10,0.0001,0.978542
400,2183847411,10,0.0001,0.962503
418,2262272108,10,0.0001,0.879215
643,3434441203,10,0.0001,1.02324
293,1680810593,10,0.0001,0.899755
549,2936119111,10,0.0001,0.908285
600,3185467481,10,0.0001,1.079401
729,3955979602,10,0.0001,0.800042
596,3172834229,10,0.0001,1.023619
475,2497828035,10,0.0001,1.081793
166,941311679,10,0.0001,1.055052
749,4013194867,10,0.0001,1.060041
730,3957205804,10,0.0001,0.97756
116,673966379,10,0.0001,1.065485
448,2395239155,10,0.0001,1.078389
6,52656976,10,0.0001,1.031046
41,265269413,10,0.0001,0.973314
34,211363302,10,0.0001,0.964179
277,1589903630,10,0.0001,0.93937
10,71224468,10,0.0001,1.046325
575,3065720681,10,0.0001,1.109252
762,4092324967,10,0.0001,1.106504
723,3933669813,10,0.0001,1.111095
344,1930364899,10,0.0001,0.960881
623,3286057775,10,0.0001,0.932761
690,3735593747,10,0.0001,0.962965
660,3548145907,10,0.0001,1.113744
245,1424872628,10,0.0001,1.082202
248,1453106942,10,0.0001,0.962516
742,4007076560,10,0.0001,0.965515
486,2557940651,10,0.0001,0.981219
298,1699009411,10,0.0001,0.860354
479,2521842202,10,0.0001,1.022609
538,2847835411,10,0.0001,0.972444
194,1137866229,10,0.0001,1.073666
422,2267510377,10,0.0001,1.135164
62,401675328,10,0.0001,1.019949
45,273504528,10,0.0001,0.878483
704,3854720369,10,0.0001,0.879749
356,1996252896,10,0.0001,0.983985
28,161633165,10,0.0001,1.11314
476,2506811872,10,0.0001,0.92593
641,3409443031,10,0.0001,1.032619
734,3990164418,10,0.0001,0.962141
197,1154008649,10,0.0001,1.011111
169,975009524,10,0.0001,1.089744
92,558458086,10,0.0001,0.929463
103,604155025,10,0.0001,0.841803
783,4182502943,10,0.0001,0.977208
397,2172497549,10,0.0001,0.91895
4,28733316,10,0.0001,0.939364
752,4033508543,10,0.0001,1.000706
63,413165419,10,0.0001,1.012752
60,396655087,10,0.0001,1.059813
237,1377423930,10,0.0001,1.012049
387,2141301284,10,0.0001,1.020701
192,1122377977,10,0.0001,0.965141
614,3242341532,10,0.0001,1.12967
784,4185953520,10,0.0001,1.134829
133,730718496,10,0.0001,1.006294
324,1835568329,10,0.0001,0.86942
215,1251431559,10,0.0001,1.057245
256,1505764142,10,0.0001,0.996675
117,676077568,10,0.0001,1.084715
